min features>0,Freq ,,min features>=40,Freq ,,min features>=30 ,Freq ,,optimized cutoff,Freq ,Sample,
batch1_SampleTag01_hs,6484,,batch1_SampleTag01_hs,2058,,batch1_SampleTag01_hs,3689,,batch1_SampleTag01_hs,3853,CA-1,
batch1_SampleTag02_hs,5585,,batch1_SampleTag02_hs,904,,batch1_SampleTag02_hs,2312,,batch1_SampleTag02_hs,2634,N-1,
batch1_SampleTag03_hs,2142,,batch1_SampleTag03_hs,865,,batch1_SampleTag03_hs,1372,,batch1_SampleTag03_hs,1415,CA-2,
batch1_SampleTag04_hs,1303,,batch1_SampleTag04_hs,422,,batch1_SampleTag04_hs,778,,batch1_SampleTag04_hs,808,N-2,
batch10_SampleTag01_hs,13218,,batch10_SampleTag01_hs,9903,,batch10_SampleTag01_hs,11455,,batch10_SampleTag01_hs,11466,CA-21,
batch10_SampleTag02_hs,4339,,batch10_SampleTag02_hs,2566,,batch10_SampleTag02_hs,3312,,batch10_SampleTag02_hs,3396,N-21,
batch10_SampleTag03_hs,2274,,batch10_SampleTag03_hs,1237,,batch10_SampleTag03_hs,1803,,batch10_SampleTag03_hs,1808,CA-22,
batch10_SampleTag04_hs,483,,batch10_SampleTag04_hs,193,,batch10_SampleTag04_hs,286,,batch10_SampleTag04_hs,290,N-22,Excluded
batch11_SampleTag03_hs,10983,,batch11_SampleTag03_hs,8608,,batch11_SampleTag03_hs,9933,,batch11_SampleTag03_hs,10003,CA-25,
batch11_SampleTag04_hs,12778,,batch11_SampleTag04_hs,8846,,batch11_SampleTag04_hs,10000,,batch11_SampleTag04_hs,10199,N-25,
batch2_SampleTag01_hs,7876,,batch2_SampleTag01_hs,4475,,batch2_SampleTag01_hs,6987,,batch2_SampleTag01_hs,7377,CA-3,
batch2_SampleTag02_hs,715,,batch2_SampleTag02_hs,375,,batch2_SampleTag02_hs,622,,batch2_SampleTag02_hs,638,N-3,
batch2_SampleTag03_hs,75,,batch2_SampleTag03_hs,38,,batch2_SampleTag03_hs,61,,batch2_SampleTag03_hs,64,CA-4,Excluded
batch2_SampleTag04_hs,54,,batch2_SampleTag04_hs,28,,batch2_SampleTag04_hs,48,,batch2_SampleTag04_hs,48,N-4,Excluded
batch3_SampleTag01_hs,2997,,batch3_SampleTag01_hs,1090,,batch3_SampleTag01_hs,1441,,batch3_SampleTag01_hs,1476,CA-5,
batch3_SampleTag02_hs,2158,,batch3_SampleTag02_hs,938,,batch3_SampleTag02_hs,1270,,batch3_SampleTag02_hs,1279,N-5,
batch3_SampleTag03_hs,5983,,batch3_SampleTag03_hs,2812,,batch3_SampleTag03_hs,3749,,batch3_SampleTag03_hs,3798,CA-6,
batch3_SampleTag04_hs,687,,batch3_SampleTag04_hs,312,,batch3_SampleTag04_hs,386,,batch3_SampleTag04_hs,384,N-6,
batch4_SampleTag02_hs,3047,,batch4_SampleTag02_hs,1786,,batch4_SampleTag02_hs,2622,,batch4_SampleTag02_hs,2728,CA-7,
batch4_SampleTag03_hs,2122,,batch4_SampleTag03_hs,1134,,batch4_SampleTag03_hs,1743,,batch4_SampleTag03_hs,1848,N-7,
batch4_SampleTag06_hs,596,,batch4_SampleTag06_hs,348,,batch4_SampleTag06_hs,505,,batch4_SampleTag06_hs,523,CA-9,
batch4_SampleTag07_hs,610,,batch4_SampleTag07_hs,532,,batch4_SampleTag07_hs,589,,batch4_SampleTag07_hs,588,N-9,
batch5_SampleTag01_hs,509,,batch5_SampleTag01_hs,444,,batch5_SampleTag01_hs,473,,batch5_SampleTag01_hs,476,CA-10,
batch5_SampleTag03_hs,1374,,batch5_SampleTag03_hs,981,,batch5_SampleTag03_hs,1197,,batch5_SampleTag03_hs,1200,N-10,
batch5_SampleTag04_hs,177,,batch5_SampleTag04_hs,100,,batch5_SampleTag04_hs,115,,batch5_SampleTag04_hs,119,CA-11,Excluded
batch6_SampleTag05_hs,248,,batch6_SampleTag05_hs,181,,batch6_SampleTag05_hs,201,,batch6_SampleTag05_hs,207,CA-12,Excluded
batch6_SampleTag06_hs,9104,,batch6_SampleTag06_hs,6978,,batch6_SampleTag06_hs,7498,,batch6_SampleTag06_hs,7714,N-12,
batch6_SampleTag07_hs,3829,,batch6_SampleTag07_hs,3470,,batch6_SampleTag07_hs,3630,,batch6_SampleTag07_hs,3659,N-13,
batch6_SampleTag08_hs,4403,,batch6_SampleTag08_hs,3773,,batch6_SampleTag08_hs,4278,,batch6_SampleTag08_hs,4297,CA-13,
batch7_SampleTag04_hs,2346,,batch7_SampleTag04_hs,1516,,batch7_SampleTag04_hs,2006,,batch7_SampleTag04_hs,2041,CA-14,
batch7_SampleTag05_hs,607,,batch7_SampleTag05_hs,415,,batch7_SampleTag05_hs,506,,batch7_SampleTag05_hs,518,CA-15,
batch7_SampleTag06_hs,1716,,batch7_SampleTag06_hs,818,,batch7_SampleTag06_hs,1202,,batch7_SampleTag06_hs,1230,N-14,
batch7_SampleTag09_hs,9035,,batch7_SampleTag09_hs,5919,,batch7_SampleTag09_hs,6998,,batch7_SampleTag09_hs,7051,N-15,
batch7_SampleTag10_hs,1589,,batch7_SampleTag10_hs,898,,batch7_SampleTag10_hs,1180,,batch7_SampleTag10_hs,1204,CA-16,
batch7_SampleTag11_hs,4062,,batch7_SampleTag11_hs,3481,,batch7_SampleTag11_hs,3892,,batch7_SampleTag11_hs,3889,N-16,
batch8_SampleTag09_hs,2307,,batch8_SampleTag09_hs,1877,,batch8_SampleTag09_hs,2014,,batch8_SampleTag09_hs,2020,CA-18,
batch8_SampleTag10_hs,5614,,batch8_SampleTag10_hs,4664,,batch8_SampleTag10_hs,5082,,batch8_SampleTag10_hs,5084,CA-17,
batch8_SampleTag11_hs,6970,,batch8_SampleTag11_hs,5557,,batch8_SampleTag11_hs,6140,,batch8_SampleTag11_hs,6160,N-17,
batch8_SampleTag12_hs,5953,,batch8_SampleTag12_hs,5046,,batch8_SampleTag12_hs,5418,,batch8_SampleTag12_hs,5462,N-18,
batch9_SampleTag01_hs,4556,,batch9_SampleTag01_hs,3825,,batch9_SampleTag01_hs,4454,,batch9_SampleTag01_hs,4480,CA-19,
batch9_SampleTag02_hs,2,,batch9_SampleTag02_hs,2,,batch9_SampleTag02_hs,2,,batch9_SampleTag02_hs,2,CA-19,Excluded
batch9_SampleTag03_hs,48,,batch9_SampleTag03_hs,44,,batch9_SampleTag03_hs,47,,batch9_SampleTag03_hs,48,N-19,Excluded
batch9_SampleTag06_hs,4553,,batch9_SampleTag06_hs,3932,,batch9_SampleTag06_hs,4413,,batch9_SampleTag06_hs,4456,N-19,
batch9_SampleTag11_hs,3610,,batch9_SampleTag11_hs,2956,,batch9_SampleTag11_hs,3525,,batch9_SampleTag11_hs,3563,CA-20,
batch9_SampleTag12_hs,13127,,batch9_SampleTag12_hs,10976,,batch9_SampleTag12_hs,12789,,batch9_SampleTag12_hs,12905,N-20,
